x,y,t,intensity
2079,1402,0,111
2080,1402,0,111
2081,1402,0,110
2082,1402,0,109
2083,1402,0,109
2084,1402,0,108
2085,1402,0,108
2086,1402,0,108
2087,1402,0,108
2088,1402,0,107
2089,1402,0,107
2090,1402,0,107
2091,1402,0,108
2092,1402,0,108
2093,1402,0,109
2094,1402,0,110
2095,1402,0,109
2096,1402,0,109
2097,1402,0,108
2098,1402,0,109
2099,1402,0,110
2000,1403,0,96
2001,1403,0,98
2002,1403,0,97
2003,1403,0,97
2004,1403,0,98
2005,1403,0,100
2006,1403,0,101
2007,1403,0,103
2008,1403,0,105
2009,1403,0,105
2010,1403,0,104
2011,1403,0,103
2012,1403,0,104
2013,1403,0,105
2014,1403,0,108
2015,1403,0,109
2016,1403,0,107
2017,1403,0,106
2018,1403,0,105
2019,1403,0,105
2020,1403,0,107
2021,1403,0,108
2022,1403,0,109
2023,1403,0,108
2024,1403,0,108
2025,1403,0,106
2026,1403,0,106
2027,1403,0,105
2028,1403,0,105
2029,1403,0,104
2030,1403,0,105
2031,1403,0,104
2032,1403,0,104
2033,1403,0,104
2034,1403,0,104
2035,1403,0,104
2036,1403,0,104
2037,1403,0,104
2038,1403,0,104
2039,1403,0,103
2040,1403,0,103
2041,1403,0,103
2042,1403,0,104
2043,1403,0,105
2044,1403,0,104
2045,1403,0,104
2046,1403,0,105
2047,1403,0,106
2048,1403,0,106
2049,1403,0,105
2050,1403,0,105
2051,1403,0,105
2052,1403,0,105
2053,1403,0,105
2054,1403,0,105
2055,1403,0,105
2056,1403,0,107
2057,1403,0,108
2058,1403,0,108
2059,1403,0,108
2060,1403,0,107
2061,1403,0,106
2062,1403,0,106
2063,1403,0,105
2064,1403,0,104
2065,1403,0,104
2066,1403,0,105
2067,1403,0,105
2068,1403,0,105
2069,1403,0,106
2070,1403,0,107
2071,1403,0,108
2072,1403,0,108
2073,1403,0,109
2074,1403,0,109
2075,1403,0,108
2076,1403,0,109
2077,1403,0,111
2078,1403,0,111
2079,1403,0,111
2080,1403,0,112
2081,1403,0,112
2082,1403,0,110
2083,1403,0,109
2084,1403,0,108
2085,1403,0,108
2086,1403,0,108
2087,1403,0,107
2088,1403,0,108
2089,1403,0,108
2090,1403,0,107
2091,1403,0,107
2092,1403,0,108
2093,1403,0,109
2094,1403,0,109
2095,1403,0,108
2096,1403,0,109
2097,1403,0,108
2098,1403,0,109
2099,1403,0,111
2000,1404,0,93
2001,1404,0,95
2002,1404,0,96
2003,1404,0,98
2004,1404,0,99
2005,1404,0,100
2006,1404,0,102
2007,1404,0,103
2008,1404,0,105
2009,1404,0,105
2010,1404,0,104
2011,1404,0,103
2012,1404,0,105
2013,1404,0,106
2014,1404,0,108
2015,1404,0,109
2016,1404,0,109
2017,1404,0,108
2018,1404,0,105
2019,1404,0,105
2020,1404,0,106
2021,1404,0,107
2022,1404,0,109
2023,1404,0,109
2024,1404,0,108
2025,1404,0,107
2026,1404,0,107
2027,1404,0,105
2028,1404,0,104
2029,1404,0,103
2030,1404,0,103
2031,1404,0,103
2032,1404,0,102
2033,1404,0,103
2034,1404,0,104
2035,1404,0,104
2036,1404,0,104
2037,1404,0,103
2038,1404,0,103
2039,1404,0,103
2040,1404,0,103
2041,1404,0,103
2042,1404,0,104
2043,1404,0,104
2044,1404,0,104
2045,1404,0,104
2046,1404,0,104
2047,1404,0,105
2048,1404,0,105
2049,1404,0,105
2050,1404,0,105
2051,1404,0,106
2052,1404,0,107
2053,1404,0,107
2054,1404,0,106
2055,1404,0,107
2056,1404,0,107
2057,1404,0,107
2058,1404,0,107
2059,1404,0,107
2060,1404,0,106
2061,1404,0,106
2062,1404,0,106
2063,1404,0,106
2064,1404,0,105
2065,1404,0,105
2066,1404,0,106
2067,1404,0,107
2068,1404,0,107
2069,1404,0,107
2070,1404,0,108
2071,1404,0,109
2072,1404,0,108
2073,1404,0,108
2074,1404,0,108
2075,1404,0,108
2076,1404,0,109
2077,1404,0,111
2078,1404,0,111
2079,1404,0,111
2080,1404,0,110
2081,1404,0,111
2082,1404,0,110
2083,1404,0,109
2084,1404,0,108
2085,1404,0,108
2086,1404,0,107
2087,1404,0,108
2088,1404,0,109
2089,1404,0,109
2090,1404,0,108
2091,1404,0,107
2092,1404,0,107
2093,1404,0,107
2094,1404,0,106
2095,1404,0,107
2096,1404,0,107
2097,1404,0,107
2098,1404,0,108
2099,1404,0,110
2000,1405,0,93
2001,1405,0,95
2002,1405,0,97
2003,1405,0,98
2004,1405,0,98
2005,1405,0,99
2006,1405,0,100
2007,1405,0,101
2008,1405,0,103
2009,1405,0,104
2010,1405,0,103
2011,1405,0,104
2012,1405,0,106
2013,1405,0,107
2014,1405,0,108
2015,1405,0,109
2016,1405,0,109
2017,1405,0,109
2018,1405,0,107
2019,1405,0,106
2020,1405,0,106
2021,1405,0,107
2022,1405,0,109
2023,1405,0,110
2024,1405,0,109
2025,1405,0,108
2026,1405,0,108
2027,1405,0,107
2028,1405,0,104
2029,1405,0,104
2030,1405,0,104
2031,1405,0,104
2032,1405,0,103
2033,1405,0,104
2034,1405,0,105
2035,1405,0,105
2036,1405,0,105
2037,1405,0,103
2038,1405,0,103
2039,1405,0,103
2040,1405,0,104
2041,1405,0,104
2042,1405,0,104
2043,1405,0,105
2044,1405,0,105
2045,1405,0,105
2046,1405,0,105
2047,1405,0,105
2048,1405,0,104
2049,1405,0,104
2050,1405,0,105
2051,1405,0,106
2052,1405,0,107
2053,1405,0,108
2054,1405,0,108
2055,1405,0,107
2056,1405,0,107
2057,1405,0,107
2058,1405,0,105
2059,1405,0,105
2060,1405,0,105
2061,1405,0,105
2062,1405,0,106
2063,1405,0,106
2064,1405,0,107
2065,1405,0,107
2066,1405,0,107
2067,1405,0,107
2068,1405,0,107
2069,1405,0,108
2070,1405,0,109
2071,1405,0,109
2072,1405,0,108
2073,1405,0,108
2074,1405,0,108
2075,1405,0,109
2076,1405,0,110
2077,1405,0,110
2078,1405,0,110
2079,1405,0,109
2080,1405,0,108
2081,1405,0,110
2082,1405,0,110
2083,1405,0,109
2084,1405,0,108
2085,1405,0,107
2086,1405,0,108
2087,1405,0,109
2088,1405,0,110
2089,1405,0,110
2090,1405,0,108
2091,1405,0,106
2092,1405,0,106
2093,1405,0,105
2094,1405,0,105
2095,1405,0,105
2096,1405,0,106
2097,1405,0,106
2098,1405,0,107
2099,1405,0,108
2000,1406,0,95
2001,1406,0,97
2002,1406,0,98
2003,1406,0,98
2004,1406,0,98
2005,1406,0,98
2006,1406,0,100
2007,1406,0,102
2008,1406,0,103
2009,1406,0,103
2010,1406,0,102
2011,1406,0,103
2012,1406,0,104
2013,1406,0,106
2014,1406,0,107
2015,1406,0,108
2016,1406,0,108
2017,1406,0,110
2018,1406,0,110
2019,1406,0,108
2020,1406,0,106
2021,1406,0,107
2022,1406,0,109
2023,1406,0,110
2024,1406,0,109
2025,1406,0,108
2026,1406,0,108
2027,1406,0,108
2028,1406,0,106
2029,1406,0,105
2030,1406,0,105
2031,1406,0,105
2032,1406,0,104
2033,1406,0,105
2034,1406,0,106
2035,1406,0,106
2036,1406,0,105
2037,1406,0,103
2038,1406,0,102
2039,1406,0,103
2040,1406,0,105
2041,1406,0,105
2042,1406,0,105
2043,1406,0,105
2044,1406,0,106
2045,1406,0,106
2046,1406,0,107
2047,1406,0,106
2048,1406,0,103
2049,1406,0,103
2050,1406,0,104
2051,1406,0,104
2052,1406,0,106
2053,1406,0,108
2054,1406,0,108
2055,1406,0,107
2056,1406,0,107
2057,1406,0,106
2058,1406,0,105
2059,1406,0,106
2060,1406,0,106
2061,1406,0,106
2062,1406,0,105
2063,1406,0,105
2064,1406,0,106
2065,1406,0,107
