x,y,t,intensity
0,0,0,0.0
0,1,0,0.0
0,2,0,0.0
0,3,0,0.0
0,4,0,0.0
0,5,0,0.0
0,6,0,0.0
0,7,0,0.0
0,8,0,0.0
0,9,0,0.0
0,10,0,0.0
0,11,0,0.0
0,12,0,0.0
0,13,0,0.0
0,14,0,0.0
0,15,0,0.0
0,16,0,0.0
0,17,0,0.0
0,18,0,0.0
0,19,0,0.0
0,20,0,0.0
0,21,0,0.0
0,22,0,0.0
0,23,0,0.0
0,24,0,0.0
0,25,0,0.0
0,26,0,0.0
0,27,0,0.0
0,28,0,0.0
0,29,0,0.0
0,30,0,0.0
0,31,0,0.0
0,32,0,0.0
0,33,0,0.0
0,34,0,0.0
0,35,0,0.0
0,36,0,0.0
0,37,0,0.0
0,38,0,0.0
0,39,0,0.0
0,40,0,0.0
0,41,0,0.0
0,42,0,0.0
0,43,0,0.0
0,44,0,0.0
0,45,0,0.0
0,46,0,0.0
0,47,0,0.0
0,48,0,0.0
0,49,0,0.0
0,50,0,0.0
1,0,0,0.0
1,1,0,0.003942649342761085
1,2,0,0.007869738849791441
1,3,0,0.011765770092923353
1,4,0,0.015615367216767555
1,5,0,0.019403337620189854
1,6,0,0.02311473191456702
1,7,0,0.026734902922193913
1,8,0,0.030249563482002226
1,9,0,0.03364484283445808
1,10,0,0.036907341363112925
1,11,0,0.04002418347676794
1,12,0,0.04298306842355027
1,13,0,0.045772318836360903
1,14,0,0.048380926818107774
1,15,0,0.050798597384846544
1,16,0,0.05301578909537893
1,17,0,0.05502375170696199
1,18,0,0.05681456070851866
1,19,0,0.058381148595062604
1,20,0,0.05971733275991158
1,21,0,0.06081783989461139
1,22,0,0.06167832680027527
1,23,0,0.06229539752820563
1,24,0,0.06266661678215212
1,25,0,0.06279051952931337
1,26,0,0.06266661678215212
1,27,0,0.06229539752820562
1,28,0,0.06167832680027527
1,29,0,0.0608178398946114
1,30,0,0.05971733275991159
1,31,0,0.058381148595062604
1,32,0,0.056814560708518654
1,33,0,0.05502375170696198
1,34,0,0.05301578909537892
1,35,0,0.050798597384846544
1,36,0,0.048380926818107774
1,37,0,0.0457723188363609
1,38,0,0.042983068423550284
1,39,0,0.040024183476767956
1,40,0,0.03690734136311293
1,41,0,0.03364484283445808
1,42,0,0.030249563482002244
1,43,0,0.026734902922193923
1,44,0,0.023114731914567033
1,45,0,0.01940333762018986
1,46,0,0.015615367216767557
